Key_Field,Source_Key,Policy_Date,Policy_Year,Policy_Month,Policy_Quarter,Domicile_Country,PolicyHolder_name,Country_Origin,Product_Descr,Branch,Country_Office,Broker,Filter1,Filter2,Filter3,Filter4,Filter5,Filter6,Industry,LOB,Big_Policy_Ind,Source,Cross_Product,SUB_LOB1,SUB_LOB2,PremiumAmount,LossAmount,Loss_Cnt,Loss_Cntgt0,Loss_Cntgt1000,LossRatio,Linkage1,Linkage2,Linkage3
1,Name1Source1,1/1/2011,2011,1,Q1,USA,Name1,USA,,BRANCH1,USA,BROKER1,Yes,A,Yes,Yes,Yes,No,Industry1,LOB1,Yes,Source1,P1,L1,,100,0,0,0,0,0,1,1,0
2,Name2Source2,1/2/2011,2011,1,Q1,GB,Name2,GB,PRODUCT1,BRANCH2,GB,BROKER2,No,B,Yes,No,Yes,No,Industry2,LOB2,No,Source2,P2,,L2,200,0,0,0,0,0,1,1,0
3,Name3Source3,1/3/2011,2011,1,Q1,CHN,Name3,CHN,PRODUCT2,BRANCH3,SGP,BROKER3,No,B,No,No,Yes,No,Industry3,LOB3,No,Source3,P3,,,300,0,0,0,0,0,1,1,0
4,Name4Source1,1/4/2011,2011,1,Q1,IRE,Name4,IRE,PRODUCT3,BRANCH1,USA,BROKER4,Yes,A,Yes,No,No,No,Industry4,LOB4,Yes,Source1,P4,,,400,0,0,0,0,0,1,1,0
5,Name5Source2,1/5/2011,2011,1,Q1,SPN,Name5,SPN,PRODUCT4,BRANCH2,GB,BROKER5,No,B,Yes,No,Yes,No,Industry5,LOB5,No,Source2,P5,,,500,0,0,0,0,0,1,1,0
6,Name6Source3,1/6/2011,2011,1,Q1,ITA,Name6,ITA,,BRANCH3,SGP,BROKER6,No,B,No,Yes,Yes,Yes,Industry6,LOB6,No,Source3,P6,,,600,0,0,0,0,0,1,1,0
7,Name7Source1,1/7/2011,2011,1,Q1,GER,Name7,GER,PRODUCT5,BRANCH1,USA,BROKER7,Yes,A,Yes,No,Yes,No,Industry7,LOB1,Yes,Source1,P7,,,700,0,0,0,0,0,1,1,0
8,Name8Source2,1/8/2011,2011,1,Q1,AUS,Name8,AUS,PRODUCT6,BRANCH2,GB,BROKER8,No,B,Yes,No,No,No,Industry8,LOB2,No,Source2,P1,L1,,800,0,0,0,0,0,1,1,0
9,Name9Source3,1/9/2011,2011,1,Q1,UAE,Name9,UAE,PRODUCT7,BRANCH3,SGP,BROKER9,No,B,No,No,Yes,No,Industry9,LOB3,No,Source3,P2,,L2,900,0,0,0,0,0,1,1,0
10,Name10Source1,1/10/2011,2011,1,Q1,SGP,Name10,SGP,PRODUCT8,BRANCH1,USA,BROKER10,Yes,A,Yes,No,Yes,No,Industry10,LOB4,Yes,Source1,P3,,,1000,800,1,1,0,0.8,1,1,0
11,Name11Source2,1/11/2011,2011,1,Q1,MEX,Name11,MEX,,BRANCH2,GB,BROKER11,No,B,Yes,Yes,Yes,No,Industry11,LOB5,No,Source2,P4,,,1100,900,1,1,0,0.818181818,1,1,0
12,Name12Source3,1/12/2011,2011,1,Q1,CAN,Name12,CAN,PRODUCT9,BRANCH3,SGP,BROKER12,No,B,No,No,No,Yes,Industry12,LOB6,No,Source3,P5,,,1200,1200,5,1,1,1,1,1,0
13,Name13Source1,1/13/2011,2011,1,Q1,FRA,Name13,FRA,PRODUCT10,BRANCH1,USA,BROKER13,Yes,A,Yes,No,Yes,No,Industry13,LOB1,Yes,Source1,P6,,,1300,40000,10,1,1,30.76923077,1,1,0
14,Name14Source2,1/14/2011,2011,1,Q1,USA,Name14,USA,PRODUCT11,BRANCH2,GB,BROKER14,No,B,Yes,No,Yes,No,Industry14,LOB2,No,Source2,P7,,,1400,0,0,0,0,0,1,1,0
15,Name15Source3,1/15/2011,2011,1,Q1,GB,Name15,GB,PRODUCT12,BRANCH3,SGP,BROKER15,No,B,No,No,Yes,No,Industry15,LOB3,No,Source3,P1,L2,,1500,0,0,0,0,0,1,1,0
16,Name16Source1,1/16/2011,2011,1,Q1,CHN,Name16,CHN,,BRANCH1,USA,BROKER16,Yes,A,Yes,Yes,No,No,Industry16,LOB4,Yes,Source1,P2,,L3,1600,0,0,0,0,0,1,1,0
17,Name17Source2,1/17/2011,2011,1,Q1,IRE,Name17,IRE,PRODUCT13,BRANCH2,GB,BROKER17,No,B,Yes,No,Yes,No,Industry17,LOB5,No,Source2,P3,,,1700,0,0,0,0,0,1,1,0
18,Name18Source3,1/18/2011,2011,1,Q1,SPN,Name18,SPN,PRODUCT14,BRANCH3,SGP,BROKER18,No,B,No,No,Yes,Yes,Industry18,LOB6,No,Source3,P4,,,1800,0,0,0,0,0,1,1,0
19,Name19Source1,1/19/2011,2011,1,Q1,ITA,Name19,ITA,PRODUCT15,BRANCH1,USA,BROKER19,Yes,A,Yes,No,Yes,No,Industry19,LOB1,Yes,Source1,P5,,,1900,0,0,0,0,0,1,1,0
20,Name20Source2,1/20/2011,2011,1,Q1,GER,Name20,GER,PRODUCT16,BRANCH2,GB,BROKER20,No,B,Yes,No,No,No,Industry20,LOB2,No,Source2,P6,,,2000,0,0,0,0,0,1,1,0
21,Name21Source3,1/21/2011,2011,1,Q1,AUS,Name21,AUS,,BRANCH3,SGP,BROKER21,No,B,No,Yes,Yes,No,Industry21,LOB3,No,Source3,P7,,,2100,0,0,0,0,0,1,1,0
22,Name22Source1,1/22/2011,2011,1,Q1,UAE,Name22,UAE,PRODUCT17,BRANCH1,USA,BROKER22,Yes,A,Yes,No,Yes,No,Industry22,LOB4,Yes,Source1,P1,L2,,2200,0,0,0,0,0,1,1,0
23,Name23Source2,1/23/2011,2011,1,Q1,SGP,Name23,SGP,PRODUCT18,BRANCH2,GB,BROKER23,No,B,Yes,No,Yes,No,Industry23,LOB5,No,Source2,P2,,L3,2300,800,1,1,0,0.347826087,1,1,0
24,Name24Source3,1/24/2011,2011,1,Q1,MEX,Name24,MEX,PRODUCT19,BRANCH3,SGP,BROKER24,No,B,No,No,No,Yes,Industry24,LOB6,No,Source3,P3,,,2400,900,1,1,0,0.375,1,1,0
25,Name25Source1,1/25/2011,2011,1,Q1,CAN,Name25,CAN,PRODUCT20,BRANCH1,USA,BROKER25,Yes,A,Yes,No,Yes,No,Industry25,LOB1,Yes,Source1,P4,,,2500,1200,5,1,1,0.48,1,1,0
26,Name26Source2,1/26/2011,2011,1,Q1,FRA,Name26,FRA,,BRANCH2,GB,BROKER1,No,B,Yes,Yes,Yes,No,Industry26,LOB2,No,Source2,P5,,,2600,40000,10,1,1,15.38461538,1,1,0
27,Name27Source3,1/27/2011,2011,1,Q1,USA,Name27,USA,PRODUCT21,BRANCH3,SGP,BROKER2,No,B,No,No,Yes,No,Industry27,LOB3,No,Source3,P6,,,2700,0,0,0,0,0,1,1,0
28,Name28Source1,1/28/2011,2011,1,Q1,GB,Name28,GB,PRODUCT22,BRANCH1,USA,BROKER3,Yes,A,Yes,No,No,No,Industry28,LOB4,Yes,Source1,P7,,,2800,0,0,0,0,0,1,1,0
29,Name29Source2,1/29/2011,2011,1,Q1,CHN,Name29,CHN,PRODUCT23,BRANCH2,GB,BROKER4,No,B,Yes,No,Yes,No,Industry29,LOB5,No,Source2,P1,L3,,2900,0,0,0,0,0,1,1,0
